Finnish,English
on,is
ei,No
ja,and
se,it
hän,he
en,not
mitä,what
että,that
ole,be
olen,I am
oli,was
niin,so
mutta,but
sen,its
vain,only
minä,I
jos,if
tämä,this
nyt,now
voi,butter
sinä,you
olet,are
kun,when
sitä,the
kuin,than
he,they
hänen,his
täällä,here
olla,be
et,not
kaikki,all
minun,my
ovat,are
hyvä,good
minua,me
sitten,then
onko,whether
miksi,why
sinua,you
miten,how
sinun,your
älä,area
siitä,thence
hänet,him
mitään,anything
kyllä,Yes
kiitos,thank you
hei,Hey
mikä,What
olisi,should
ne,they
kanssa,with
pitää,keep
joka,which
ollut,had been
tai,or
häntä,him
tässä,here
tiedä,know
minulle,to me
minulla,me
jotain,something
ehkä,perhaps
missä,where
tuo,that
minut,me
me,we
oletko,Are you
kuka,Who
hyvin,very
anteeksi,Sorry
vielä,yet
tämän,this
sinut,thee
sinulle,for you
jo,already
koska,because
haluan,I want
olemme,are
tiedän,I know
tehdä,make
tänne,here
meidän,our
emme,we do not
saa,weather
tule,Come
paljon,a lot
siellä,there
anna,let
eivät,not
tätä,this
pois,off
ennen,before
sinulla,you have
täytyy,must
aina,always
tulee,comes
siinä,there
enää,any more
eikö,not
takaisin,back
herra,Mr.
mistä,where from
selvä,clear
yksi,one
te,you
juuri,just
näin,thus
halua,desire
pitäisi,should
kuinka,how
vai,or
koko,size
joku,someone
meillä,at our house
olin,I was
kaksi,two
hänelle,him
mennä,go
koskaan,ever
tästä,from here
tietää,know
kai,probably
mies,man
joten,so
aivan,right
voin,butter
ihan,quite
no,Well
siis,therefore
totta,true
isä,father
entä,what
aika,time
siihen,thereto
mene,go
oikein,properly
kuten,like
vähän,little
olette,are
edes,at least
teet,do
äiti,Mum
eikä,and not
todella,really
hyvää,good
voit,you can
aikaa,time
kukaan,anyone
haluat,you want
mukaan,by
kunnossa,okay
minusta,me
itse,self
myös,also
vaan,but
sanoi,said
sillä,for
kaiken,all
ettei,lest
noin,about
ulos,out
hänellä,on his or her
auttaa,help
taas,again
jälkeen,after
tulla,become
katso,Look
pidä,keep
heidän,their
päästä,to be released
puhua,talk
tänään,today
sinusta,about you
pahoillani,sorry
kerro,tell
tuli,fire
vaikka,although
niitä,them
etkö,won't you
liian,too
meitä,us
kotiin,home
tee,tea
muuta,anything else
näyttää,show
teidän,yours
vuotta,in the year
kiinni,Closed
nähdä,see
ilman,free
tapahtui,happened
nämä,these
sinne,there
mennään,let's go
heti,immediately
sanoa,say
jotka,that
haluatko,do you want
varmasti,certainly
ette,do not
saat,you get
tähän,over here
antaa,give
tiedät,you know
kolme,three
tarvitse,need
haluaa,wishes
kertoa,tell
ota,take
meidät,us
pian,soon
odota,Wait
saada,get
menee,goes
teitä,you
nähnyt,perceivedly seen
teen,do
hänestä,from him
luoja,Creator
tehnyt,done
enemmän,more
